chebi_id,InChIKey
28,CDOSHBSSFJOMGT-JTQLQIEISA-N
42,WUYQEGNOQLRQAQ-CQSZACIVSA-N
154,AZOCECCLWFDTAP-RKDXNWHRSA-N
367,OGLDWXZKYODSOB-JTQLQIEISA-N
433,LNRYWMBIOOXPID-MLHUMARHSA-N
798,YLTCTXBDDHSLCS-KOUJMVCDSA-N
864,CXMBCXQHOXUCEO-BYPYZUCNSA-N
991,UXFQFBNBSPQBJW-UHFFFAOYSA-N
1403,FNJVIEZDTMREOQ-UHFFFAOYSA-N
1438,CAOMCZAIALVUPA-UHFFFAOYSA-N
1547,VCKPUUFAIGNJHC-UHFFFAOYSA-N
1656,CMVHVKHUWLAUNF-PWNYCUMCSA-N
1665,JXYLQEMXCAAMOL-UHFFFAOYSA-N
1774,GUYHPGUANSLONG-SNAWJCMRSA-O
1949,FOUJWBXBKVVHCJ-YIJYGBTNSA-N
1963,PHBDHXOBFUBCJD-KQYNXXCUSA-N
2197,VYAKIUWQLHRZGK-UHFFFAOYSA-N
2285,NVOIXARBSSLBAS-KQYNXXCUSA-N
2288,HHVQPBXBALLUDF-QORHGLQKSA-N
2290,HWOOALPDOJHOPO-YREUSXKVSA-N
2317,OJGPEAXUHQRLNC-PEBGCTIMSA-N
2382,BTMNGQCCCWTUQH-UHFFFAOYSA-N
2411,QBQSGZSHVKFNMZ-SASNSOKNSA-N
2480,KQXSPGAEBZWHMC-QMUWONGRSA-M
2512,BACLASYRJRZXMY-UHFFFAOYSA-N
2567,OGSPWJRAVKPPFI-UHFFFAOYSA-N
2628,DXUUXWKFVDVHIK-UHFFFAOYSA-N
2675,QWGDMFLQWFTERH-UHFFFAOYSA-N
2676,LSQZJLSUYDQPKJ-NJBDSQKTSA-N
2704,YBBLVLTVTVSKRW-UHFFFAOYSA-N
2719,CZGUSIXMZVURDU-JZXHSEFVSA-N
2761,WBTCZEPSIIFINA-UHFFFAOYSA-J
2807,FBHYCDOVYMVLEN-RMPHRYRLSA-N
2877,IAOZJIPTCAWIRG-QWRGUYRKSA-N
2959,ONHBDDJJTDTLIR-UHFFFAOYSA-N
3000,GYSCAQFHASJXRS-FFCOJMSVSA-N
3005,LTXRLUQBZWBCGH-UHFFFAOYSA-N
3011,XPCFTKFZXHTYIP-PMACEKPBSA-N
3013,HDWIHXWEUNVBIY-UHFFFAOYSA-N
3047,NDTSRXAMMQDVSW-UHFFFAOYSA-N
3121,RCBRFGAYXGRKBS-UHFFFAOYSA-N
3127,VHYCDWMUTMEGQY-UHFFFAOYSA-N
3134,HODFCFXCOMKRCG-UHFFFAOYSA-N
3187,MODXUQZMEBLSJD-YAEAOFIFSA-N
3224,RICLFGYGYQXUFH-UHFFFAOYSA-N
3347,HTQMVQVXFRQIKW-UHFFFAOYSA-N
3390,CVXBEEMKQHEXEN-UHFFFAOYSA-N
3491,DYAIAHUQIPBDIP-AXAPSJFSSA-N
3509,NMVPEQXCMGEDNH-TZVUEUGBSA-N
3540,YMNCVRSYJBNGLD-KURKYZTESA-N
3642,MXOAEAUPQDYUQM-UHFFFAOYSA-N
3688,WMMOMSNMMDMSRB-JNHRPPPUSA-N
3720,DCSUBABJRXZOMT-IRLDBZIGSA-N
3766,QZUDBNBUXVUHMW-UHFFFAOYSA-N
3789,RFBIUXAOZAPWCC-RDKWKEIWSA-M
3790,BKIWSQUNFCJSOI-HZUOBFSFSA-M
3793,CMNLELJQIRWSFR-GFSZXBFJSA-M
3996,JURKNVYFZMSNLP-UHFFFAOYSA-N
3997,VXEAYBOGHINOKW-UHFFFAOYSA-N
4027,CMSMOCZEIVJLDB-UHFFFAOYSA-N
4093,WQZGKKKJIJFFOK-IVMDWMLBSA-N
4174,GUBGYTABKSRVRQ-FIYDWFNZSA-N
4250,RNBGYGVWRKECFJ-OEXCPVAWSA-N
4286,YSCNMFDFYJUPEF-OWOJBTEDSA-N
4325,MQJKPEGWNLWLTK-UHFFFAOYSA-N
4466,CUHVIMMYOGQXCV-NSHDSACASA-N
4637,PCHPORCSPXIHLZ-UHFFFAOYSA-N
4638,OGAKLTJNUQRZJU-UHFFFAOYSA-N
4653,IZEKFCXSFNUWAM-UHFFFAOYSA-N
4660,QOSLYAARSBMQOF-NBJLYKDOSA-N
4667,MSRILKIQRXUYCT-UHFFFAOYSA-M
4709,VJECBOKJABCYMF-UHFFFAOYSA-N
4781,AUVVAXYIELKVAI-CKBKHPSWSA-N
4791,RDYMFSUJUZBWLH-UHFFFAOYSA-N
4850,YTZIQRTXKBDFKM-HOTGVXAUSA-N
4866,QZIGLSSUDXBTLJ-ZBRFXRBCSA-N
4876,AVOLMBLBETYQHX-UHFFFAOYSA-N
4882,ZEHYJZXQEQOSON-UHFFFAOYSA-N
4883,ZMMJGEGLRURXTF-UHFFFAOYSA-N
4888,SZQIFWWUIBRPBZ-UHFFFAOYSA-N
4903,BFPYWIDHMRZLRN-SLHNCBLASA-N
4904,VTUSIVBDOCDNHS-UHFFFAOYSA-N
4974,GGXKWVWZWMLJEH-UHFFFAOYSA-N
